interaction_type,event,target_text,response_text,label
Quote,Santa Fe Shooting,More children have been killed in schools this year than those serving in the military Let that sink in ,Seriously wtf is wrong with our political system Politicians are supposed to represent the people not the NRA or the highest bidder blue wave vote them all out ,3
Quote,Santa Fe Shooting,Former GOP Rep Jason Chaffetz Politically correct culture to blame for shooting by EricBoehlert ,Ma calls BS ,1
Quote,Santa Fe Shooting,On average that’s one school shooting every week this year in the USA Why was nothing done after the first to prevent the rest Will something be done by those in power now How many murders does it take to make someone listen Thoughts and love with everyone in Texas 🖤 ,On average there’s one fake stat about school shootings by idiots on the left every 30 seconds This is one of them ,1
Quote,Santa Fe Shooting,"THIS WEEK —North Korea setback —KushnerQatar —IsraelGaza —TrumpCohen —Wilkie pick for VA —Mueller 1yr —TX school shooting —PAORIDNE primaries —Trump""animals"" —Haspel confirmed —21st circuit judge —Trump abortion rule —NAFTAChina talks —Pruitt fallout —Farm bill crashes ",Despite illegal WITCHUNT blah blah blah MOST SUCCESSFUL Madministration THE BESTEST IN FACT blah blah blah FAKE NEWS blah blah blah squirrel ,6
Quote,General Terms,I’m so confused When we were attacked on 911 Americans came together in the strongest show of support our country has ever seen When we get attacked by Russia half the country denies it even happened let alone fight against it Clearly something is wrong here ,ONE MIGHT BE MADE UP AND NOT REAL NOT SURE STILL RESEARCHING ,2
Quote,General Terms,Adult friendships ,False adult friendships are MF 95 ,1
Quote,General Terms,"NHs GOP governor just signed a GOP law imposing new restrictions on voting eligibility Being domiciled in NH is no longer sufficient you will also need to meet the qualifications of a ""resident"" This will likely mean many college students dont vote ",Republicans know that their policies are despised by the American people so the lie cheat and steal to make sure that democracy is a farce and to ensure their minority rule ,3
Quote,General Terms,Guys first moves are over Women it’s all you now You have to call us send us gifts do all the asking out and paying for dinner make the first move and provide consent paperwork in triplicate for the goodnight kiss We quit ,The stupid comments on this tweet some people just refuse to see the exaggerations and the lies ,1
Quote,Santa Fe Shooting,This is not true nra supporters like to make this claim but there is no evidence to support it Regardless the current racist policies and rhetoric of the NRA are what matter today ,,1
Quote,Santa Fe Shooting,Dem Congressional Candidate Says ‘Fk the NRA’ in New Campaign Ad ,“I think the only people who are going to be offended are the NRA” Wrong ,1
Quote,Santa Fe Shooting,I asked Trump nominee Gina Haspel four different times whether she believe the CIA’s previous interrogation techniques like waterboarding were immoral She repeatedly declined to answer ,Kamala spread her legs amp lies all the way to the top She cant stand to see strong women break glass ceilings in… ,1
Quote,General Terms,President Obama mocked the notion that Russia was a threat in 2012 and then fell asleep at the wheel as Russia attacked our electoral system in 2016 Why aren’t Democrats and the mainstream media outraged at him ,Hi GOPChairwoman r u inspired joseph gob bels ie 2 tel a lie 100 times amp it becomes truth were is the proof of Russian involvement in ur elections cc Politicallyin18 lbrot1 EternalRiteWing Txwench StillUSA1st KAFosterSowell shelliecorreia ConsrvativeDiva CancerSucksss ,1
Quote,General Terms,We have and we believe our president and do not believe the bull shit coming out of the intell community you all are a bunch of lying traitors ,,1
Quote,General Terms,The problem w Trump’s approach to Russian interference in our election is he sees it only through the lense of whether he won or lost He did win but that shouldn’t blind him to how wrong it was for Russia to interfere I believe Mueller amp the intell community Trump should too ,Ari I usually find your take refreshing and evenhanded Youre wrong this time Americans DO NOT TRUST OBAMAS INTELLIGENCE AGENCY and the made up Russian bs ,1
Quote,General Terms,rather your a liar remember you were fired now a propaganda mouth ? ,,2
Quote,General Terms,"VP PENCE ""what the world saw what the American people saw is that President Donald Trump will always put the prosperity and security of America first"" ",where’s the gaslight emoji ,2
Quote,General Terms,Girls that lie 😐😒 ,Guys that lie bio😕😒😒 ,6
Quote,Santa Fe Shooting,Within hours of massacre Fox News calls for arming literally ‘anyone’ ,Watch fox news some day Make a list of their advertisers Ignore all the bullshit gaslighting amp outright lying Boycott the companies advertising there Our besr weapon against fascism is our spending choices boycott trump sponsors boycott gop sponsors boycott rw media sponsors ,3
Quote,Santa Fe Shooting,Susan and I are saddened by the horrific shooting in Texas and our hearts go out to the community of Santa Fe and the family and friends of those who lost their lives Grateful to the first responders who bravely risked their own lives in order to save others ,Keep your heart comments to yourself make some real change instead of saying the same tired BS after every school shooting ,2
Quote,Santa Fe Shooting,So many things wrong with this Idk where to begin Wheres your evidence ,,1
Quote,General Terms,Am I the only female that done had a nigga running from head 🙄🤔 ,Caught you in a lie ,1
Quote,General Terms,Meet Lawless Hloni All he does is drink and have fun Sometimes he has fun and then he drinks I think we’ve established that Hloni just likes having fun Come meet Hloni this Saturday at Taboo so you too can also have fun Thanks for coming to my Ted Talk😊 ,There are NO LAWS ,6
Quote,General Terms,The taped conversation took place two months before the election a month after woman claiming affair w Trump was paid by AMI ,No one records just one random conversation If Cohen recorded this one there are no doubt many many others ,6
Quote,General Terms,Dates are required period I’m not chilling with a guy I just met You won’t be in my house and I’m not coming to yours period ,When I say this has saved me from dealing wso many bullshit as niggas Aint no pulling up on me PERIOD if yen doing dates then youll gone on bout yo business Put more standards on yourself ,3
Quote,General Terms,Never bullshit a bullshitter ,Always bullshit a bullshitter ,1
Quote,Student Marches,⚡️Look at the crowd size for march for our lives •Id say at least 5X more than at Trump 2017 inauguration 👀 ,POTUS PressSec librarycongress I wonder what stupid LIES Sarah Sanders will hurl to start this week off ALIENS invaded DC perhaps ,3
Quote,Student Marches,Emma Gonzalez goes viral on the far right but the photo is fake ,NRA supporters are creating fake news all to attack gun violence survivors shame on you 🤬🤯 enough is enough blue wave coming 2 0 1 8 🌊🌊 ,3
Quote,Santa Fe Shooting,You know what benefits from school shootings The home school movement You know what benefits from the home school movement Ignorance You know what benefits from ignorance republicanism . y o u know what benefits from Republicanism The nra . See it now ,Wrong assumptions lead to erroneous conclusions ,1
Quote,Santa Fe Shooting,wakeup usa To GOPChairwoman IvankaTrump BetsyDeVosED PressSec KellyannePolls Not one of you lying shits takes time to even tweet about helping with these probsor educationor schools U DO take time to continuously tweet about the Glorious leader DJT So fuck all of U ,,6
Quote,Santa Fe Shooting,Think really hard before you try to use human suffering to further your agenda This is devastation There are no winners No politics Just people Rhetoric like this may not help but you can Youre somewhere You can be someones small miracle because you ARE somebody Rise ,,2
Quote,Santa Fe Shooting,So far in 2018 a member of the military has been about 40 times as likely to be killed as someone is to die in a school shooting ,97 of all statistics are made up on the spot😒 ,1
Quote,Santa Fe Shooting,How ironic these school shooting take place right when DOJFBI are under fire to divert the media attention to take away the 2A Now it’s a shot gun and pistol The kid was bullied on social media Maybe it’s social media’s fault Who really behind it ,FALSE FLAGS 🙏💗🇺🇸 ,3
Quote,General Terms,Why My Health Record cant have militarygrade security ,"A minister defending their project by saying it has ""militarygrade security"" should just get in the bin Is there a better indicator that our current representatives are the wrong people for the job and should not have our data ",2
Quote,General Terms,what is wrong with y’all why do you think “psychopath” is an okay insult to use why do you hate mentally ill people lol ,,2
Quote,General Terms,I dont think so Tony He has never been after votes Simply a better society for all I think you are gravely mistaken in your personal opinion of him ,,1
Quote,General Terms,race baiter 👸🏾 The Queen Of Race Baiting April Ryan says reporter told her The only reason you get called on is because youre black and if she didn’t get called on the excuse would be ‘because you are black’ 🙄 ,Ok April Lyin Ryan Im calling your lying rascist fat ass out WHAT REPORTER TOLD YOU THIS You cant and wont answer because it is a big fat lie just like you Reporters are supposed to REPORT the news not BE the news so sit down STFU and DO YOUR JOB fake news cnn ,3
Quote,Santa Fe Shooting,FALSE ONLY IN 1999 WAS A SCHOOL SHOOTING IN NETHERLABDS FIX YOUR SOURCES ,,1
Quote,Santa Fe Shooting,The Santa Fe school shooting is 2nd this week 3rd this month and 16th this year ,trumpovitch has spent more effort this year lying about Stormy Daniels than trying to protect children ,6
Quote,Santa Fe Shooting,“Prepare to watch the NRA boast about getting higher donations Prepare to see students rise up and be called ‘civil terrorists’ and ‘crisis actors’ Prepare for the rightwing media to attack the survivors” ,Prepare to watch the Left propagate complete BS about guns and gun violence then shriek “you have blood on your hands” at anyone who dares point out their fallacies ,6
Quote,Santa Fe Shooting,Jesus this is so invalid I want a list of all 101 mass shootings this year with facts and backed up fake news ,,1
Quote,Iran Deal,Irans president says it will negotiate staying in nuclear deal with European countries Russia and China despite US withdrawal ,BBC is meanwhile reporting fake news iran nuclear deal trump ,6
Quote,Iran Deal,I think we had enough of the Clinton era of political lies and mistakes Just look how well your husbands North Korea appeasement policy worked out for us ,,2
Quote,Iran Deal,You lie everyday That’s why people don’t trust you nixon Was better ,,1
Quote,Iran Deal,GRAB THE POPCORN Iran Threatened to Name Politicians Who Took BRIBES to Pass Nuclear Deal ,Waiting qa non fake news POTUS ,6
Quote,Iran Deal,This is false information Republicans Democrats Independents AMERCIANS I urge you to not blindly believe whatever this human states This is SO false it’s harmful Put your party aside and EDUCATE yourself Something realDonaldTrump refuses to do ,,1
Quote,Iran Deal,When youre paid for years to launch disingenuous attacks at the Iran Deal at least own the consequences of blowing it up ,You confessed to Obama and admin lying about it to the American people in order to get it done Sit this one out Ben The future is not going to work out in your political favor brhodes ,2
Quote,Iran Deal,breaking news : israeli occupation force arrests a palestinian youth in jerusalem on the pretext of possession of a sharp tool ,It isnt Zionism is a crime ZIONISM IS CRIME one and the same deceit lies dishonesty evil MOren TLfilled with LIES Palestinians lack exactly what defines Zionism Drumpf kills Iran deal Israel attacks soon thereafter Pretextamphuman shieldsboth unneeded for their crimes ,6
Quote,Santa Fe Shooting,Meanwhile 7 shot so far this Memorial Day weekend in Chicago where they have total gun control just another day in the hood ,There is no “total gun control” in Chicago And what kind of person makes light of the epidemic of gun violence in America subtext ,1
Quote,Santa Fe Shooting,David Hogg and the mainstream media dont want you to know this but 8 people were killed and 30 were injured in shootings this weekend in Chicago Funny how they claim to care about shootings but not the ones in cities with lots of gun control ,This tweet is extremely misleading and the situation is much more nuanced than she wants you to believe ,1
Quote,Santa Fe Shooting,NRA Stop lying and protect our young people from being killed by assault weapons They are murderers not law abiding citizens ,,1
Quote,General Terms,Parent’s curfew with each child 1st child “be home by 10” 2nd child “alright you can stay out until midnight” 3rd child “as long as I see you within 35 business days I honestly don’t care what time you’re home” I’m not mad ur mad ,Well that’s a lie 😅😅 im the 3rd and I’m 18 and it’s like “be home by 1130pm or imma beat your ass” ,1
Quote,General Terms,Our intelligence communities say Russia is actively trying 2interfere in our election So Mr President “do U believe that Russia is trying 2interfere in our election” Wednesday Trump “NO” SO ARE WE ALL FUCKING DONE NOW DEBATING ON WHETHER OR NOT HE MEANT WHAT HE SAID ON MON ,The president is a liar treason summit occupy lafayette park treason summit impeach trump ,3
Quote,General Terms,My piece Rahul Gandhi Should Not Fall Into the BJP Trap ,Why waglenikhil was not included in cwc When Fake editor licks boots of an illeterate beyond thinking🤣🤣🤣 ,2
Quote,General Terms,Ellison National Borders Create ‘An Injustice’ for ‘Regular People’ Seeking Higher Wages Wtf ,OH HELL NOthis muslime brotherhood RAT has to go GET HIM OUT of our government walkaway from DEMONrat party of oppression socialism marxism hate violence injustices lies corruption ,2
Quote,General Terms,"Sarah Sanders says President Trump was saying ""no"" to the cook in the back of the room as in no fries with lunch Not ""no"" that Russia isnt targeting the United States ""He does believe they would target US elections"" ",For them to lie as much as they do you’d think they would be better at it by now ,3
Quote,General Terms,Honeys Just had to haul the slut out again Still amazes me Hussy ,Dare to be willfully stupid just substitute analytical thought with fake narrative ,2
Quote,General Terms,Every girl that got her body done has these slippers ,Not true I have these but I don’t have a flat butt ,1
Quote,Iran Deal,"Iran already had 10bn in assets frozen was given 1bn back under Obama This false narrative is being used to demonise iran , when in fact Saudis Israelis and Americans are the likely suspects Pentagon blatantly was hit by missile and Rumsfeld accidentally admitted as such ",,3
Quote,Iran Deal,Oompa Loompa oompadie dee Hey realDonaldTrump stop spewing bullhit amp lies . @ p o t u s GOP liar in chief iran deal iran impeach trump to maga ,,3
Quote,Iran Deal,Calling for impeachment is about protecting our Constitution our country and our people There’s no sense in dismissing the resistance to Trump at this crucial juncture in American politics We are watching history unfold before our eyes which side do we want to be on ,What a fuccing traitor TomSteyer is He lies about President Trump as he is doing everything he can to remove nuks Brokered peace in Korea and is stopping Iran from getting the bomb WTF has loser Steyer done for this country except create deception Stop him dont support ,1
Quote,Iran Deal,I dont get why I should find this more import than say Clinton lying about RIGGING AN ELECTION or Obama about paying Iran money that fueled their nuclear program Or Bush about WMD in Iraq No David I dont give a shit Not one single shit STFU ,,1
Quote,Iran Deal,Caroline Glick The Ayatollahs Archive Violates the Iran Deal Breitbart via BreitbartNews ,"SenBennetCO iran deal Update ""Despite misleading claims by former Obama administration officials and their supporters in the liberal media that the material provided “nothing new” the existence of the archive itself is a bombshell""CarolineGlick ",3
Quote,Santa Fe Shooting,These numbers are legitimate bullshit ,,1
Quote,Santa Fe Shooting,sigh I just found out there was another school shooting today now here in Texas At this point fuck “gun control” reform Just repeal the entire fucking 2nd I’m done with this shit And fuck your white unstable guntoting fragileass feelings too ,wrong ,1
Quote,Santa Fe Shooting,Briefed by law enforcement in Santa Fe this afternoon on the ongoing investigation of today’s tragic shooting Grateful to local state and federal officials for their work Ready to assist in any way we can ,You receive money from the NRA and have a progun voting record you can keep your fake ass help ,1
Quote,Santa Fe Shooting,What we know about the Texas school shooting At least 8 dead mostly students At least 12 people hospitalized Suspected shooter is in custody and believed to be a student at the school sheriff says This is the 22nd school shooting in 2018 ,Just another school shooting in America At least 8 dead The Fake President will have less to say about it than he did about a single death in a knife attack in France 🤔 uspo li us politics santa fe ,6
Quote,Santa Fe Shooting,‘LIE’ Jimmy Kimmel Pushes Bogus School Shooting Stats That Have Been Disproven ,Why you gotta lie Jimmy ,3
Quote,Santa Fe Shooting,VERIFY Was Santa Fe shooting suspect bullied ,You know I’m tired of this bs the kid shot up a school killed kids bullying or not he still did it ,2
Quote,Santa Fe Shooting,Bruising from a bb gun accidental shootings and incidents that dont involve students or staff make up almost half of CNN’s school shooting count ,1 shooting is too many Who cares about the inflated numbers all media lies no matter what side you support ,2
